TransactionID,Amount,CustomerID,Timestamp,MerchantID,TransactionAmount,AnomalyScore,FraudIndicator,Category,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location
13,47.13851441,1321,1/1/2022 12:00,2092,64.78165788,0.44480312,0,Other,Customer 1321,47,Address 1321,2685.942365,11/17/2022,0,Merchant 2092,Location 2092
14,98.80425008,1700,1/1/2022 13:00,2892,43.69145948,0.997339633,0,Travel,Customer 1700,22,Address 1700,6735.159471,12/1/2023,0,Merchant 2892,Location 2892
15,99.83263446,1321,1/1/2022 14:00,2849,35.45084414,0.8279264,0,Other,Customer 1321,47,Address 1321,2685.942365,11/17/2022,0,Merchant 2849,Location 2849
16,20.73503915,1463,1/1/2022 15:00,2640,47.62737483,0.45594737,0,Other,Customer 1463,46,Address 1463,1847.326392,4/8/2023,0,Merchant 2640,Location 2640
17,44.54511885,1962,1/1/2022 16:00,2858,83.80043413,0.078616969,0,Other,Customer 1962,39,Address 1962,7989.117483,8/19/2024,0,Merchant 2858,Location 2858
18,27.05493667,1854,1/1/2022 17:00,2479,67.01973545,0.532820295,0,Travel,Customer 1854,57,Address 1854,9960.172528,5/3/2024,0,Merchant 2479,Location 2479
19,13.61551916,1651,1/1/2022 18:00,2470,79.67952921,0.252012286,1,Food,Customer 1651,58,Address 1651,8326.149989,10/13/2023,0,Merchant 2470,Location 2470
20,20.80228964,1715,1/1/2022 19:00,2933,23.12632325,0.279158608,0,Travel,Customer 1715,57,Address 1715,9103.487494,12/16/2023,0,Merchant 2933,Location 2933
21,36.04360522,1724,1/1/2022 20:00,2835,60.70535435,0.675940712,0,Travel,Customer 1724,32,Address 1724,8830.491513,12/25/2023,0,Merchant 2835,Location 2835
22,99.1004274,1117,1/1/2022 21:00,2220,53.84670687,0.124228478,0,Online,Customer 1117,52,Address 1117,7288.036638,4/27/2022,0,Merchant 2220,Location 2220
23,85.42017819,1613,1/1/2022 22:00,2465,15.57953819,0.19532639,0,Travel,Customer 1613,21,Address 1613,8486.464783,9/5/2023,0,Merchant 2465,Location 2465
24,84.05328459,1643,1/1/2022 23:00,2480,13.38677784,0.617289802,0,Retail,Customer 1643,52,Address 1643,7833.796203,10/5/2023,0,Merchant 2480,Location 2480
25,50.25861245,1788,1/2/2022 0:00,2305,98.4640558,0.244353038,0,Travel,Customer 1788,27,Address 1788,4384.800512,2/27/2024,0,Merchant 2305,Location 2305
26,52.59392865,1251,1/2/2022 1:00,2753,95.19370555,0.48707029,0,Other,Customer 1251,34,Address 1251,1820.938586,9/8/2022,0,Merchant 2753,Location 2753
27,20.48932094,1960,1/2/2022 2:00,2301,77.50921965,0.422735998,0,Other,Customer 1960,34,Address 1960,9934.498597,8/17/2024,0,Merchant 2301,Location 2301
28,12.39744274,1187,1/2/2022 3:00,2914,51.7711377,0.838064383,0,Online,Customer 1187,46,Address 1187,4845.969184,7/6/2022,0,Merchant 2914,Location 2914
29,25.33480349,1121,1/2/2022 4:00,2322,73.08040768,0.463340571,0,Other,Customer 1121,23,Address 1121,4584.987688,5/1/2022,0,Merchant 2322,Location 2322
30,70.07512698,1117,1/2/2022 5:00,2932,83.88421813,0.64660001,0,Retail,Customer 1117,52,Address 1117,7288.036638,4/27/2022,0,Merchant 2932,Location 2932
31,92.61930298,1475,1/2/2022 6:00,2951,59.96380461,0.02864515,0,Food,Customer 1475,25,Address 1475,2805.311996,4/20/2023,0,Merchant 2951,Location 2951
32,77.72694417,1993,1/2/2022 7:00,2313,64.82555289,0.113955707,0,Online,Customer 1993,60,Address 1993,8330.438296,9/19/2024,0,Merchant 2313,Location 2313
33,59.35099004,1030,1/2/2022 8:00,2693,16.31638922,0.790491985,0,Other,Customer 1030,54,Address 1030,3767.557888,1/30/2022,0,Merchant 2693,Location 2693
34,61.34763595,1116,1/2/2022 9:00,2686,74.89233385,0.496141397,0,Retail,Customer 1116,22,Address 1116,3038.909607,4/26/2022,0,Merchant 2686,Location 2686
35,60.47401633,1676,1/2/2022 10:00,2173,63.48108384,0.02342486,0,Online,Customer 1676,38,Address 1676,7624.565427,11/7/2023,0,Merchant 2173,Location 2173
36,42.20773348,1547,1/2/2022 11:00,2674,55.07489447,0.105618427,0,Retail,Customer 1547,31,Address 1547,6742.168051,7/1/2023,0,Merchant 2674,Location 2674
37,71.26856792,1527,1/2/2022 12:00,2832,15.8558897,0.117361369,0,Food,Customer 1527,59,Address 1527,3545.727576,6/11/2023,0,Merchant 2832,Location 2832
38,46.21498241,1087,1/2/2022 13:00,2967,35.25955889,0.682579996,0,Retail,Customer 1087,28,Address 1087,2934.809838,3/28/2022,0,Merchant 2967,Location 2967
39,14.63168949,1207,1/2/2022 14:00,2201,53.30527211,0.938484554,0,Other,Customer 1207,38,Address 1207,5655.630626,7/26/2022,0,Merchant 2201,Location 2201
40,80.53777563,1038,1/2/2022 15:00,2995,89.31329988,0.532609127,0,Other,Customer 1038,62,Address 1038,5402.92085,2/7/2022,0,Merchant 2995,Location 2995
41,47.87485135,1800,1/2/2022 16:00,2596,13.15678955,0.319477766,0,Other,Customer 1800,58,Address 1800,6631.372808,3/10/2024,0,Merchant 2596,Location 2596
42,85.10981611,1510,1/2/2022 17:00,2518,39.31008129,0.21494584,0,Retail,Customer 1510,53,Address 1510,7685.510723,5/25/2023,0,Merchant 2518,Location 2518
43,55.81926586,1104,1/2/2022 18:00,2910,62.40210029,0.567270538,0,Online,Customer 1104,52,Address 1104,1693.073846,4/14/2022,0,Merchant 2910,Location 2910
44,86.97191974,2000,1/2/2022 19:00,2423,88.11638357,0.766330004,0,Food,Customer 2000,42,Address 2000,4853.02438,9/26/2024,0,Merchant 2423,Location 2423
45,69.75758075,1644,1/2/2022 20:00,2364,29.20318144,0.707631887,0,Online,Customer 1644,51,Address 1644,3307.317156,10/6/2023,1,Merchant 2364,Location 2364
46,79.35791579,1238,1/2/2022 21:00,2274,15.03142075,0.99233785,0,Online,Customer 1238,38,Address 1238,8228.897853,8/26/2022,0,Merchant 2274,Location 2274
47,72.74250983,1759,1/2/2022 22:00,2639,64.05504371,0.531697064,0,Food,Customer 1759,33,Address 1759,6608.386988,1/29/2024,0,Merchant 2639,Location 2639
48,17.64056948,1994,1/2/2022 23:00,2233,37.31484596,0.032240268,0,Travel,Customer 1994,63,Address 1994,8791.304689,9/20/2024,0,Merchant 2233,Location 2233
49,30.79372808,1752,1/3/2022 0:00,2239,11.93959323,0.006120114,1,Other,Customer 1752,46,Address 1752,6552.420255,1/22/2024,0,Merchant 2239,Location 2239
50,61.3529794,1415,1/3/2022 1:00,2946,17.91599332,0.044725292,0,Online,Customer 1415,57,Address 1415,9258.312698,2/19/2023,0,Merchant 2946,Location 2946
51,42.07616321,1044,1/3/2022 2:00,2638,28.42012347,0.918156008,0,Retail,Customer 1044,22,Address 1044,5084.274001,2/13/2022,0,Merchant 2638,Location 2638
52,90.81333791,1374,1/3/2022 3:00,2770,95.91411493,0.055545578,0,Retail,Customer 1374,47,Address 1374,2897.001044,1/9/2023,0,Merchant 2770,Location 2770
53,42.08401695,1345,1/3/2022 4:00,2262,44.00543975,0.568720188,0,Food,Customer 1345,52,Address 1345,7264.807041,12/11/2022,0,Merchant 2262,Location 2262
54,87.77609114,1680,1/3/2022 5:00,2920,39.08367573,0.111627455,0,Online,Customer 1680,43,Address 1680,1308.381737,11/11/2023,0,Merchant 2920,Location 2920
55,62.13088123,1043,1/3/2022 6:00,2312,79.91319162,0.629420175,0,Other,Customer 1043,25,Address 1043,8236.476448,2/12/2022,0,Merchant 2312,Location 2312
56,83.15175522,1611,1/3/2022 7:00,2292,99.39547483,0.504756225,0,Retail,Customer 1611,21,Address 1611,3612.869038,9/3/2023,0,Merchant 2292,Location 2292
57,49.72378631,1704,1/3/2022 8:00,2082,98.02129252,0.712486079,0,Travel,Customer 1704,23,Address 1704,1670.49309,12/5/2023,0,Merchant 2082,Location 2082
58,13.08174128,1405,1/3/2022 9:00,2921,85.978464,0.623291366,0,Food,Customer 1405,59,Address 1405,9246.516979,2/9/2023,0,Merchant 2921,Location 2921
59,28.62756065,1161,1/3/2022 10:00,2033,61.36996559,0.688946088,0,Food,Customer 1161,55,Address 1161,7545.026043,6/10/2022,0,Merchant 2033,Location 2033
60,82.91599923,1336,1/3/2022 11:00,2479,56.39017672,0.701212812,0,Retail,Customer 1336,42,Address 1336,9996.991525,12/2/2022,0,Merchant 2479,Location 2479
61,76.11459128,1714,1/3/2022 12:00,2684,52.22458795,0.381752281,0,Travel,Customer 1714,36,Address 1714,8792.097099,12/15/2023,0,Merchant 2684,Location 2684
62,66.56159118,1865,1/3/2022 13:00,2234,88.00863507,0.447881755,0,Travel,Customer 1865,45,Address 1865,4468.344079,5/14/2024,0,Merchant 2234,Location 2234
63,50.5171143,1702,1/3/2022 14:00,2286,22.41233395,0.769013213,0,Other,Customer 1702,32,Address 1702,4756.907985,12/3/2023,0,Merchant 2286,Location 2286
64,55.16274495,1483,1/3/2022 15:00,2131,10.96755079,0.339129187,0,Online,Customer 1483,56,Address 1483,7541.198869,4/28/2023,0,Merchant 2131,Location 2131
65,78.33451389,1139,1/3/2022 16:00,2195,74.80049283,0.095193896,0,Other,Customer 1139,21,Address 1139,3039.514205,5/19/2022,0,Merchant 2195,Location 2195
66,51.41448798,1108,1/3/2022 17:00,2561,16.34857049,0.107290687,0,Other,Customer 1108,33,Address 1108,7794.946322,4/18/2022,0,Merchant 2561,Location 2561
67,81.34788954,1056,1/3/2022 18:00,2171,59.48591944,0.169625926,0,Retail,Customer 1056,46,Address 1056,3507.492645,2/25/2022,0,Merchant 2171,Location 2171
68,95.23140544,1548,1/3/2022 19:00,2781,64.68870799,0.546720468,0,Other,Customer 1548,29,Address 1548,4483.1563,7/2/2023,0,Merchant 2781,Location 2781
69,87.15831943,1887,1/3/2022 20:00,2038,40.11881406,0.713295607,0,Retail,Customer 1887,40,Address 1887,3976.339147,6/5/2024,0,Merchant 2038,Location 2038
70,78.69681169,1897,1/3/2022 21:00,2475,33.1869425,0.218939389,0,Other,Customer 1897,27,Address 1897,2518.738874,6/15/2024,0,Merchant 2475,Location 2475
71,23.80623682,1154,1/3/2022 22:00,2487,64.24073572,0.55214393,0,Online,Customer 1154,48,Address 1154,5544.569289,6/3/2022,0,Merchant 2487,Location 2487
72,57.31615922,1286,1/3/2022 23:00,2495,53.91674222,0.161772859,1,Online,Customer 1286,19,Address 1286,7665.93245,10/13/2022,0,Merchant 2495,Location 2495
73,67.92604331,1149,1/4/2022 0:00,2200,55.60426364,0.686013569,0,Travel,Customer 1149,34,Address 1149,7990.33562,5/29/2022,0,Merchant 2200,Location 2200
74,16.2634488,1158,1/4/2022 1:00,2296,95.54621197,0.957373587,0,Travel,Customer 1158,50,Address 1158,5037.207239,6/7/2022,0,Merchant 2296,Location 2296
75,13.42002255,1606,1/4/2022 2:00,2872,25.73509605,0.784294719,0,Other,Customer 1606,60,Address 1606,4152.721122,8/29/2023,0,Merchant 2872,Location 2872
76,42.76855555,1422,1/4/2022 3:00,2036,92.08992059,0.4885878,0,Food,Customer 1422,32,Address 1422,6987.997844,2/26/2023,0,Merchant 2036,Location 2036
77,41.21158342,1007,1/4/2022 4:00,2753,66.15215048,0.217890507,0,Travel,Customer 1007,33,Address 1007,2957.760054,1/7/2022,0,Merchant 2753,Location 2753
78,58.13859006,1985,1/4/2022 5:00,2116,70.84820401,0.394130911,0,Other,Customer 1985,47,Address 1985,3816.962495,9/11/2024,0,Merchant 2116,Location 2116
79,14.63466416,1776,1/4/2022 6:00,2203,65.46874683,0.608512343,0,Online,Customer 1776,31,Address 1776,3715.769255,2/15/2024,0,Merchant 2203,Location 2203
80,19.13759152,1159,1/4/2022 7:00,2083,25.2730951,0.02555859,0,Retail,Customer 1159,54,Address 1159,5766.570781,6/8/2022,0,Merchant 2083,Location 2083
81,29.83486576,1493,1/4/2022 8:00,2552,54.43074954,0.200799196,0,Travel,Customer 1493,44,Address 1493,5703.04283,5/8/2023,0,Merchant 2552,Location 2552
82,38.43137755,1322,1/4/2022 9:00,2282,89.92128591,0.084979207,0,Online,Customer 1322,29,Address 1322,9411.508717,11/18/2022,0,Merchant 2282,Location 2282
83,18.11076187,1731,1/4/2022 10:00,2610,70.55336115,0.01487693,0,Food,Customer 1731,62,Address 1731,5275.945466,1/1/2024,0,Merchant 2610,Location 2610
84,22.97242859,1876,1/4/2022 11:00,2901,11.76053278,0.850090875,0,Online,Customer 1876,31,Address 1876,8278.713188,5/25/2024,0,Merchant 2901,Location 2901
85,22.45289288,1920,1/4/2022 12:00,2323,47.90428072,0.885838025,0,Retail,Customer 1920,33,Address 1920,3434.612875,7/8/2024,0,Merchant 2323,Location 2323
86,70.51131967,1618,1/4/2022 13:00,2534,30.12257415,0.661917047,0,Retail,Customer 1618,27,Address 1618,6741.429339,9/10/2023,0,Merchant 2534,Location 2534
87,78.55221407,1054,1/4/2022 14:00,2586,59.06169369,0.708639971,0,Retail,Customer 1054,27,Address 1054,2873.839987,2/23/2022,0,Merchant 2586,Location 2586
88,35.60124184,1886,1/4/2022 15:00,2882,61.03045075,0.036556438,0,Travel,Customer 1886,37,Address 1886,9467.312251,6/4/2024,0,Merchant 2882,Location 2882
89,26.00722368,1071,1/4/2022 16:00,2055,77.76328615,0.440290753,0,Retail,Customer 1071,64,Address 1071,4962.283527,3/12/2022,0,Merchant 2055,Location 2055
90,85.36034194,1975,1/4/2022 17:00,2622,49.16020343,0.000233707,0,Retail,Customer 1975,51,Address 1975,8710.760047,9/1/2024,0,Merchant 2622,Location 2622
91,48.09673926,1726,1/4/2022 18:00,2140,70.2877711,0.53258057,0,Online,Customer 1726,23,Address 1726,9885.267204,12/27/2023,0,Merchant 2140,Location 2140
92,29.0341094,1435,1/4/2022 19:00,2010,33.83842064,0.11038652,0,Food,Customer 1435,35,Address 1435,8804.517944,3/11/2023,0,Merchant 2010,Location 2010
93,98.1468594,1684,1/4/2022 20:00,2111,49.22333119,0.190179869,0,Travel,Customer 1684,43,Address 1684,7560.730129,11/15/2023,0,Merchant 2111,Location 2111
94,79.77488953,1277,1/4/2022 21:00,2680,85.86740383,0.460407875,0,Travel,Customer 1277,22,Address 1277,5042.199848,10/4/2022,0,Merchant 2680,Location 2680
95,50.3959204,1828,1/4/2022 22:00,2600,72.28814081,0.635149892,1,Other,Customer 1828,62,Address 1828,2077.514821,4/7/2024,0,Merchant 2600,Location 2600
96,98.50268585,1466,1/4/2022 23:00,2054,26.19635169,0.495002455,0,Retail,Customer 1466,41,Address 1466,2569.129234,4/11/2023,0,Merchant 2054,Location 2054
97,18.16684547,1922,1/5/2022 0:00,2432,90.07782706,0.304071879,0,Other,Customer 1922,46,Address 1922,5101.105372,7/10/2024,0,Merchant 2432,Location 2432
98,55.88720399,1183,1/5/2022 1:00,2346,21.11119367,0.291574944,0,Other,Customer 1183,40,Address 1183,7149.964405,7/2/2022,0,Merchant 2346,Location 2346
99,76.84342858,1866,1/5/2022 2:00,2299,15.15268524,0.241947664,0,Online,Customer 1866,35,Address 1866,9510.171444,5/15/2024,0,Merchant 2299,Location 2299
100,13.09722278,1514,1/5/2022 3:00,2027,94.00734126,0.337485994,0,Other,Customer 1514,20,Address 1514,2045.057996,5/29/2023,0,Merchant 2027,Location 2027
101,58.92390638,1023,1/5/2022 4:00,2433,88.98436113,0.960397629,0,Food,Customer 1023,34,Address 1023,9545.474869,1/23/2022,0,Merchant 2433,Location 2433
102,61.6589947,1012,1/5/2022 5:00,2736,97.4868818,0.26458006,0,Online,Customer 1012,45,Address 1012,2706.148888,1/12/2022,0,Merchant 2736,Location 2736
103,12.45863527,1585,1/5/2022 6:00,2744,83.76810174,0.333281988,0,Retail,Customer 1585,37,Address 1585,7900.2424,8/8/2023,0,Merchant 2744,Location 2744
104,16.65104227,1914,1/5/2022 7:00,2433,93.56933968,0.339852362,0,Travel,Customer 1914,18,Address 1914,6131.253863,7/2/2024,0,Merchant 2433,Location 2433
105,64.17988754,1979,1/5/2022 8:00,2453,39.70711038,0.222304479,0,Other,Customer 1979,20,Address 1979,8722.686489,9/5/2024,0,Merchant 2453,Location 2453
106,13.91509989,1995,1/5/2022 9:00,2154,54.89026404,0.421563512,0,Travel,Customer 1995,38,Address 1995,2240.517799,9/21/2024,0,Merchant 2154,Location 2154
107,58.08497529,1359,1/5/2022 10:00,2908,85.92834802,0.366454552,0,Online,Customer 1359,53,Address 1359,8430.986519,12/25/2022,0,Merchant 2908,Location 2908
108,96.81058586,1609,1/5/2022 11:00,2967,64.58967531,0.891327366,0,Online,Customer 1609,29,Address 1609,7085.442721,9/1/2023,0,Merchant 2967,Location 2967
109,48.73795925,1796,1/5/2022 12:00,2508,66.5143718,0.782427746,0,Food,Customer 1796,33,Address 1796,5588.049942,3/6/2024,0,Merchant 2508,Location 2508
110,44.24378825,1685,1/5/2022 13:00,2580,57.44211219,0.006331516,0,Other,Customer 1685,18,Address 1685,3046.120485,11/16/2023,0,Merchant 2580,Location 2580
111,22.58604799,1961,1/5/2022 14:00,2570,10.62508533,0.686480244,0,Retail,Customer 1961,47,Address 1961,3454.648531,8/18/2024,0,Merchant 2570,Location 2570
112,40.47944602,1740,1/5/2022 15:00,2493,21.31013276,0.290569093,0,Other,Customer 1740,19,Address 1740,1783.739009,1/10/2024,0,Merchant 2493,Location 2493
113,74.44395712,1836,1/5/2022 16:00,2628,31.08965841,0.378773048,0,Online,Customer 1836,47,Address 1836,4018.773274,4/15/2024,0,Merchant 2628,Location 2628
114,77.57986716,1120,1/5/2022 17:00,2240,97.86479107,0.838471946,0,Travel,Customer 1120,47,Address 1120,7450.419004,4/30/2022,0,Merchant 2240,Location 2240
115,40.6397918,1841,1/5/2022 18:00,2941,20.93135755,0.85487172,0,Retail,Customer 1841,22,Address 1841,9319.481714,4/20/2024,0,Merchant 2941,Location 2941
116,62.92191155,1930,1/5/2022 19:00,2507,84.66984069,0.430910008,0,Food,Customer 1930,61,Address 1930,1111.772167,7/18/2024,0,Merchant 2507,Location 2507
117,43.70363742,1423,1/5/2022 20:00,2128,75.34393386,0.862686785,0,Travel,Customer 1423,40,Address 1423,7025.452027,2/27/2023,0,Merchant 2128,Location 2128
118,56.60485657,1575,1/5/2022 21:00,2428,31.02996223,0.923014689,0,Retail,Customer 1575,21,Address 1575,7192.646432,7/29/2023,0,Merchant 2428,Location 2428
119,17.72987463,1780,1/5/2022 22:00,2572,19.52790738,0.852142732,1,Retail,Customer 1780,48,Address 1780,8473.630816,2/19/2024,0,Merchant 2572,Location 2572
120,68.83486745,1894,1/5/2022 23:00,2304,82.48672259,0.042807119,0,Retail,Customer 1894,26,Address 1894,9728.588504,6/12/2024,0,Merchant 2304,Location 2304
121,32.34210737,1240,1/6/2022 0:00,2794,95.08638384,0.745971535,0,Retail,Customer 1240,43,Address 1240,1883.486735,8/28/2022,0,Merchant 2794,Location 2794
122,87.56655198,1167,1/6/2022 1:00,2846,48.77567691,0.589366559,0,Retail,Customer 1167,33,Address 1167,4121.316625,6/16/2022,0,Merchant 2846,Location 2846
123,70.83894726,1330,1/6/2022 2:00,2169,76.92373658,0.269505805,1,Other,Customer 1330,63,Address 1330,8773.95694,11/26/2022,1,Merchant 2169,Location 2169
124,26.52979093,1171,1/6/2022 3:00,2948,52.73870333,0.413697506,0,Travel,Customer 1171,22,Address 1171,4631.532992,6/20/2022,0,Merchant 2948,Location 2948
125,88.2045675,1749,1/6/2022 4:00,2148,83.10764959,0.792079862,0,Retail,Customer 1749,44,Address 1749,3334.187888,1/19/2024,0,Merchant 2148,Location 2148
126,55.2028916,1069,1/6/2022 5:00,2226,60.0261689,0.407731666,0,Other,Customer 1069,38,Address 1069,8363.065543,3/10/2022,0,Merchant 2226,Location 2226
127,55.48555001,1569,1/6/2022 6:00,2390,89.72536825,0.54700653,0,Other,Customer 1569,31,Address 1569,6363.937936,7/23/2023,0,Merchant 2390,Location 2390
128,39.19964508,1537,1/6/2022 7:00,2637,83.88838197,0.64870369,0,Food,Customer 1537,37,Address 1537,1947.17342,6/21/2023,0,Merchant 2637,Location 2637
129,49.8728689,1425,1/6/2022 8:00,2461,93.24206116,0.865739711,0,Food,Customer 1425,56,Address 1425,6441.933113,3/1/2023,0,Merchant 2461,Location 2461
130,12.47335504,1761,1/6/2022 9:00,2928,53.74615541,0.60674783,0,Other,Customer 1761,21,Address 1761,2854.186623,1/31/2024,0,Merchant 2928,Location 2928
131,75.9925365,1458,1/6/2022 10:00,2901,43.06404676,0.54392235,0,Other,Customer 1458,35,Address 1458,8017.715824,4/3/2023,0,Merchant 2901,Location 2901
132,65.03159711,1588,1/6/2022 11:00,2588,27.32178111,0.194431445,0,Food,Customer 1588,27,Address 1588,7925.082131,8/11/2023,0,Merchant 2588,Location 2588
133,92.36972522,1418,1/6/2022 12:00,2717,74.31939247,0.050784081,0,Retail,Customer 1418,19,Address 1418,5724.611458,2/22/2023,0,Merchant 2717,Location 2717
134,33.80095789,1299,1/6/2022 13:00,2511,81.10453304,0.675284476,0,Food,Customer 1299,31,Address 1299,4661.555926,10/26/2022,0,Merchant 2511,Location 2511
135,14.5645152,1822,1/6/2022 14:00,2077,51.28972617,0.351812063,0,Travel,Customer 1822,44,Address 1822,8603.321935,4/1/2024,0,Merchant 2077,Location 2077
136,70.85855069,1152,1/6/2022 15:00,2921,76.33022877,0.686264785,0,Travel,Customer 1152,55,Address 1152,7273.982376,6/1/2022,0,Merchant 2921,Location 2921
137,80.7731617,1667,1/6/2022 16:00,2639,82.18514377,0.166292053,0,Other,Customer 1667,35,Address 1667,4096.117607,10/29/2023,0,Merchant 2639,Location 2639
138,39.82540299,1669,1/6/2022 17:00,2548,68.07165652,0.107425556,0,Online,Customer 1669,44,Address 1669,4490.14401,10/31/2023,0,Merchant 2548,Location 2548
139,12.18460187,1169,1/6/2022 18:00,2338,97.73176014,0.065346361,0,Online,Customer 1169,30,Address 1169,4020.714312,6/18/2022,0,Merchant 2338,Location 2338
140,36.9412543,1574,1/6/2022 19:00,2180,44.40597074,0.781759019,0,Travel,Customer 1574,55,Address 1574,5541.197921,7/28/2023,0,Merchant 2180,Location 2180
141,61.41387642,1019,1/6/2022 20:00,2209,46.56716357,0.671085348,0,Retail,Customer 1019,37,Address 1019,3797.734536,1/19/2022,0,Merchant 2209,Location 2209
142,74.95521382,1017,1/6/2022 21:00,2919,50.49745126,0.521840026,0,Other,Customer 1017,21,Address 1017,5179.000965,1/17/2022,0,Merchant 2919,Location 2919
143,86.47644807,1150,1/6/2022 22:00,2573,73.01484256,0.008391558,0,Online,Customer 1150,52,Address 1150,7476.98918,5/30/2022,0,Merchant 2573,Location 2573
144,44.58604612,1087,1/6/2022 23:00,2954,70.58921224,0.264304745,0,Online,Customer 1087,28,Address 1087,2934.809838,3/28/2022,0,Merchant 2954,Location 2954
145,45.94470336,1129,1/7/2022 0:00,2936,18.76039379,0.769524369,0,Online,Customer 1129,39,Address 1129,4396.076926,5/9/2022,0,Merchant 2936,Location 2936
146,86.17240479,1234,1/7/2022 1:00,2011,33.87159912,0.096384987,0,Food,Customer 1234,18,Address 1234,6737.496078,8/22/2022,0,Merchant 2011,Location 2011
147,19.68849651,1112,1/7/2022 2:00,2504,93.62801307,0.590782562,0,Travel,Customer 1112,57,Address 1112,9784.736554,4/22/2022,0,Merchant 2504,Location 2504
148,79.52197138,1066,1/7/2022 3:00,2369,78.51656294,0.599691073,0,Online,Customer 1066,64,Address 1066,8979.728844,3/7/2022,0,Merchant 2369,Location 2369
149,10.86384497,1598,1/7/2022 4:00,2751,13.74011502,0.076987388,1,Travel,Customer 1598,29,Address 1598,6550.062414,8/21/2023,0,Merchant 2751,Location 2751
150,15.24013555,1117,1/7/2022 5:00,2684,35.76256758,0.982727037,0,Other,Customer 1117,52,Address 1117,7288.036638,4/27/2022,0,Merchant 2684,Location 2684
151,46.26565187,1311,1/7/2022 6:00,2920,91.20674787,0.698394497,0,Retail,Customer 1311,25,Address 1311,9253.478917,11/7/2022,0,Merchant 2920,Location 2920
152,10.64214063,1998,1/7/2022 7:00,2953,67.72998286,0.786485035,0,Travel,Customer 1998,25,Address 1998,9148.652759,9/24/2024,0,Merchant 2953,Location 2953
153,40.52631372,1123,1/7/2022 8:00,2514,23.84789058,0.860893974,0,Online,Customer 1123,34,Address 1123,7347.086687,5/3/2022,0,Merchant 2514,Location 2514
154,55.74925986,1098,1/7/2022 9:00,2480,23.19675309,0.036325359,0,Online,Customer 1098,61,Address 1098,6405.360524,4/8/2022,0,Merchant 2480,Location 2480
155,80.68702882,1836,1/7/2022 10:00,2598,55.12309146,0.152484889,0,Retail,Customer 1836,47,Address 1836,4018.773274,4/15/2024,0,Merchant 2598,Location 2598
156,58.7810534,1126,1/7/2022 11:00,2245,92.42444949,0.195162305,0,Retail,Customer 1126,27,Address 1126,7080.103439,5/6/2022,0,Merchant 2245,Location 2245
157,93.21260497,1105,1/7/2022 12:00,2068,60.5451451,0.753583804,0,Online,Customer 1105,37,Address 1105,7588.282626,4/15/2022,0,Merchant 2068,Location 2068
158,48.93431687,1634,1/7/2022 13:00,2454,58.13885001,0.001311236,0,Food,Customer 1634,44,Address 1634,5302.392311,9/26/2023,0,Merchant 2454,Location 2454
159,75.8489697,1768,1/7/2022 14:00,2225,49.28997754,0.068610817,0,Other,Customer 1768,35,Address 1768,1824.800521,2/7/2024,0,Merchant 2225,Location 2225
